mon,prez_gop,gov_gop,sen_gop,rep_gop,prez_dem,gov_dem,sen_dem,rep_dem
1/15/47,0,23,51,253,1,23,45,198
2/15/47,0,23,51,253,1,23,45,198
3/15/47,0,23,51,253,1,23,45,198
4/15/47,0,23,51,253,1,23,45,198
5/15/47,0,23,51,253,1,23,45,198
6/15/47,0,23,51,253,1,23,45,198
7/15/47,0,23,51,253,1,23,45,198
8/15/47,0,23,51,253,1,23,45,198
9/15/47,0,23,51,253,1,23,45,198
10/15/47,0,23,51,253,1,23,45,198
11/15/47,0,24,51,253,1,23,45,198
12/15/47,0,24,51,253,1,23,45,198
1/15/48,0,22,53,253,1,24,48,198
2/15/48,0,22,53,253,1,24,48,198
3/15/48,0,22,53,253,1,24,48,198
4/15/48,0,22,53,253,1,24,48,198
5/15/48,0,22,53,253,1,24,48,198
6/15/48,0,22,53,253,1,24,48,198
7/15/48,0,22,53,253,1,24,48,198
8/15/48,0,22,53,253,1,24,48,198
9/15/48,0,22,53,253,1,24,48,198
10/15/48,0,22,53,253,1,24,48,198
11/15/48,0,22,53,253,1,24,48,198
12/15/48,0,22,53,253,1,24,48,198
1/15/49,0,18,45,177,1,29,58,269
2/15/49,0,18,45,177,1,29,58,269
3/15/49,0,18,45,177,1,29,58,269
4/15/49,0,18,45,177,1,29,58,269
5/15/49,0,18,45,177,1,29,58,269
6/15/49,0,18,45,177,1,29,58,269
7/15/49,0,18,45,177,1,30,58,269
8/15/49,0,18,45,177,1,30,58,269
9/15/49,0,18,45,177,1,30,58,269
10/15/49,0,18,45,177,1,30,58,269
11/15/49,0,18,45,177,1,30,58,269
12/15/49,0,18,45,177,1,30,58,269
1/15/50,0,18,44,177,1,29,57,269
2/15/50,0,18,44,177,1,29,57,269
3/15/50,0,18,44,177,1,29,57,269
4/15/50,0,18,44,177,1,29,57,269
5/15/50,0,18,44,177,1,29,57,269
6/15/50,0,18,44,177,1,29,57,269
7/15/50,0,18,44,177,1,29,57,269
8/15/50,0,18,44,177,1,29,57,269
9/15/50,0,18,44,177,1,29,57,269
10/15/50,0,18,44,177,1,29,57,269
11/15/50,0,18,44,177,1,29,57,269
12/15/50,0,18,44,177,1,29,57,269
1/15/51,0,24,47,207,1,22,51,242
2/15/51,0,24,47,207,1,22,51,242
3/15/51,0,24,47,207,1,22,51,242
4/15/51,0,24,47,207,1,22,51,242
5/15/51,0,24,47,207,1,22,51,242
6/15/51,0,24,47,207,1,22,51,242
7/15/51,0,24,47,207,1,22,51,242
8/15/51,0,24,47,207,1,22,51,242
9/15/51,0,24,47,207,1,22,51,242
10/15/51,0,25,47,207,1,22,51,242
11/15/51,0,25,47,207,1,22,51,242
12/15/51,0,25,47,207,1,22,51,242
1/15/52,0,24,50,207,1,22,50,242
2/15/52,0,24,50,207,1,22,50,242
3/15/52,0,24,50,207,1,22,50,242
4/15/52,0,24,50,207,1,22,50,242
5/15/52,0,24,50,207,1,22,50,242
6/15/52,0,24,50,207,1,22,50,242
7/15/52,0,24,50,207,1,22,50,242
8/15/52,0,24,50,207,1,22,50,242
9/15/52,0,24,50,207,1,22,50,242
10/15/52,0,24,50,207,1,22,50,242
11/15/52,0,24,50,207,1,22,50,242
12/15/52,0,24,50,207,1,22,50,242
1/15/53,1,29,50,222,0,17,49,220
2/15/53,1,29,50,222,0,17,49,220
3/15/53,1,29,50,222,0,17,49,220
4/15/53,1,29,50,222,0,17,49,220
5/15/53,1,29,50,222,0,17,49,220
6/15/53,1,29,50,222,0,17,49,220
7/15/53,1,29,50,222,0,17,49,220
8/15/53,1,29,50,222,0,17,49,220
9/15/53,1,29,50,222,0,17,49,220
10/15/53,1,30,50,222,0,18,49,220
11/15/53,1,30,50,222,0,18,49,220
12/15/53,1,30,50,222,0,18,49,220
1/15/54,1,29,55,222,0,18,53,220
2/15/54,1,29,55,222,0,18,53,220
3/15/54,1,29,55,222,0,18,53,220
4/15/54,1,29,55,222,0,18,53,220
5/15/54,1,29,55,222,0,18,53,220
6/15/54,1,29,55,222,0,18,53,220
7/15/54,1,29,55,222,0,18,53,220
8/15/54,1,29,55,222,0,18,53,220
9/15/54,1,29,55,222,0,18,53,220
10/15/54,1,29,55,222,0,18,53,220
11/15/54,1,29,55,222,0,19,53,220
12/15/54,1,29,55,222,0,19,53,220
1/15/55,1,21,47,204,0,26,48,237
2/15/55,1,21,47,204,0,26,48,237
3/15/55,1,21,47,204,0,26,48,237
4/15/55,1,21,47,204,0,26,48,237
5/15/55,1,21,47,204,0,26,48,237
6/15/55,1,21,47,204,0,26,48,237
7/15/55,1,21,47,204,0,26,48,237
8/15/55,1,21,47,204,0,26,48,237
9/15/55,1,21,47,204,0,26,48,237
10/15/55,1,21,47,204,0,26,48,237
11/15/55,1,21,47,204,0,26,48,237
12/15/55,1,21,47,204,0,26,48,237
1/15/56,1,21,49,204,0,26,51,237
2/15/56,1,21,49,204,0,26,51,237
3/15/56,1,21,49,204,0,26,51,237
4/15/56,1,21,49,204,0,26,50,237
5/15/56,1,21,49,204,0,26,50,237
6/15/56,1,21,49,204,0,26,50,237
7/15/56,1,21,49,204,0,26,50,237
8/15/56,1,21,49,204,0,26,50,237
9/15/56,1,21,49,204,0,26,50,237
10/15/56,1,21,49,204,0,26,50,237
11/15/56,1,21,49,204,0,26,51,237
12/15/56,1,21,49,204,0,26,51,237
1/15/57,1,19,47,203,0,28,52,242
2/15/57,1,19,47,203,0,28,52,242
3/15/57,1,19,47,203,0,28,52,242
4/15/57,1,19,47,203,0,28,52,242
5/15/57,1,19,47,203,0,28,52,242
6/15/57,1,19,47,203,0,28,52,242
7/15/57,1,19,47,203,0,28,52,242
8/15/57,1,19,47,203,0,28,52,242
9/15/57,1,20,47,203,0,28,52,242
10/15/57,1,20,47,203,0,28,52,242
11/15/57,1,20,47,203,0,28,52,242
12/15/57,1,20,47,203,0,28,52,242
1/15/58,1,20,47,203,0,28,52,242
2/15/58,1,20,47,203,0,28,52,242
3/15/58,1,20,47,203,0,28,52,242
4/15/58,1,20,47,203,0,28,52,242
5/15/58,1,20,47,203,0,28,52,242
6/15/58,1,20,47,203,0,28,52,242
7/15/58,1,20,47,203,0,28,52,242
8/15/58,1,20,47,203,0,28,52,242
9/15/58,1,20,47,203,0,28,52,242
10/15/58,1,20,47,203,0,28,52,242
11/15/58,1,20,47,203,0,28,52,242
12/15/58,1,20,47,203,0,28,52,242
1/15/59,1,15,35,159,0,35,65,289
2/15/59,1,15,35,159,0,35,65,289
3/15/59,1,15,35,159,0,35,65,289
4/15/59,1,15,35,159,0,35,65,289
5/15/59,1,15,35,159,0,35,65,289
6/15/59,1,15,35,159,0,35,65,289
7/15/59,1,15,35,159,0,35,65,289
8/15/59,1,15,35,159,0,35,65,289
9/15/59,1,15,35,159,0,35,65,289
10/15/59,1,15,35,159,0,35,65,289
11/15/59,1,15,35,159,0,35,65,289
12/15/59,1,15,35,159,0,35,65,289
1/15/60,1,16,35,159,0,34,70,289
2/15/60,1,16,35,159,0,34,70,289
3/15/60,1,16,35,159,0,34,70,289
4/15/60,1,16,35,159,0,34,70,289
5/15/60,1,16,35,159,0,34,70,289
6/15/60,1,16,35,159,0,34,70,289
7/15/60,1,16,35,159,0,34,70,289
8/15/60,1,16,35,159,0,34,70,289
9/15/60,1,17,35,159,0,34,70,289
10/15/60,1,17,35,159,0,34,70,289
